2019-四月-10 14:01:01.154 INFO  [main] o.a.c.c.AprLifecycleListener - Loaded APR based Apache Tomcat Native library [1.2.21] using APR version [1.6.5].
2019-四月-10 14:01:01.155 INFO  [main] o.a.c.c.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
2019-四月-10 14:01:01.155 INFO  [main] o.a.c.c.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2019-四月-10 14:01:01.159 INFO  [main] o.a.c.c.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1a  20 Nov 2018]
2019-四月-10 14:01:01.247 INFO  [main] o.a.c.c.C.[.[.[/] - Initializing Spring embedded WebApplicationContext
2019-四月-10 14:01:01.247 INFO  [main] o.s.w.c.ContextLoader - Root WebApplicationContext: initialization completed in 1395 ms
2019-四月-10 14:01:01.998 INFO  [main] o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-四月-10 14:01:02.477 INFO  [main] o.s.b.w.e.t.TomcatWebServer - Tomcat started on port(s): 9999 (http) with context path ''
2019-四月-10 14:01:02.480 INFO  [main] c.w.d.DynamicApplication - Started DynamicApplication in 3.199 seconds (JVM running for 3.887)
2019-四月-10 14:01:12.786 INFO  [http-nio-9999-exec-1] o.a.t.u.h.p.Cookie - A cookie header was received [81dc9bdb52d04dc20036dbd8313ed055"; user.cookieF0-79-59-63-48-43="ldxadm,81dc9bdb52d04dc20036dbd8313ed055"] that contained an invalid cookie. That cookie will be ignored.
 Note: further occurrences of this error will be logged at DEBUG level.
2019-四月-10 14:01:12.792 INFO  [http-nio-9999-exec-1] o.a.c.c.C.[.[.[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-四月-10 14:01:12.793 INFO  [http-nio-9999-exec-1] o.s.w.s.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2019-四月-10 14:01:12.805 INFO  [http-nio-9999-exec-1] o.s.w.s.DispatcherServlet - Completed initialization in 12 ms
2019-四月-10 14:01:12.839 INFO  [http-nio-9999-exec-1] c.w.d.u.WebControllerAop - ===============请求内容===============
2019-四月-10 14:01:12.840 INFO  [http-nio-9999-exec-1] c.w.d.u.WebControllerAop - 请求URL:http://localhost:9999/test/selectteacher
2019-四月-10 14:01:12.840 INFO  [http-nio-9999-exec-1] c.w.d.u.WebControllerAop - 请求方式:GET
2019-四月-10 14:01:12.840 INFO  [http-nio-9999-exec-1] c.w.d.u.WebControllerAop - 请求类方法:Page com.wjf.dynamic.controller.TestController.selectteacher(Integer,Integer)
2019-四月-10 14:01:12.840 INFO  [http-nio-9999-exec-1] c.w.d.u.WebControllerAop - 请求类方法参数名[pageNum, pageSize]
2019-四月-10 14:01:12.840 INFO  [http-nio-9999-exec-1] c.w.d.u.WebControllerAop - 请求类方法参数:[1, 10]
2019-四月-10 14:01:12.840 INFO  [http-nio-9999-exec-1] c.w.d.u.WebControllerAop - 请求IP:0:0:0:0:0:0:0:1
2019-四月-10 14:01:12.840 INFO  [http-nio-9999-exec-1] c.w.d.u.WebControllerAop - ===============请求内容===============
2019-四月-10 14:01:12.891 INFO  [http-nio-9999-exec-1] c.a.d.p.DruidDataSource - {dataSource-1} inited
2019-四月-10 14:01:13.074 INFO  [http-nio-9999-exec-1] c.w.d.u.WebControllerAop - --------------返回内容----------------
2019-四月-10 14:01:13.082 INFO  [http-nio-9999-exec-1] c.w.d.u.WebControllerAop - Response内容:[{"tid":1,"tname":"王老师","username":"admin","password":"admin","studentList":[{"sid":1,"sname":"王锋","ssex":"男","tid":1,"sagenum":20},{"sid":2,"sname":"王寄","ssex":"男","tid":1,"sagenum":20},{"sid":5,"sname":"寄锋","ssex":"男","tid":1,"sagenum":20}]},{"tid":2,"tname":"牛老师","username":"admin","password":"admin","studentList":[{"sid":6,"sname":"锋","ssex":"女","tid":2,"sagenum":10},{"sid":7,"sname":"王","ssex":"女","tid":2,"sagenum":10},{"sid":8,"sname":"王1","ssex":"女","tid":2,"sagenum":10},{"sid":9,"sname":"王s","ssex":"女","tid":2,"sagenum":10}]},{"tid":3,"tname":"王寄锋","username":"wangjideng","password":"ddddddd","studentList":[]}]
2019-四月-10 14:01:13.083 INFO  [http-nio-9999-exec-1] c.w.d.u.WebControllerAop - --------------返回内容----------------
2019-四月-10 14:01:13.083 INFO  [http-nio-9999-exec-1] c.w.d.u.WebControllerAop - 请求处理时间为:245
2019-四月-10 14:01:17.366 INFO  [http-nio-9999-exec-2] c.w.d.u.WebControllerAop - ===============请求内容===============
2019-四月-10 14:01:17.366 INFO  [http-nio-9999-exec-2] c.w.d.u.WebControllerAop - 请求URL:http://localhost:9999/test/selectteacher
2019-四月-10 14:01:17.367 INFO  [http-nio-9999-exec-2] c.w.d.u.WebControllerAop - 请求方式:GET
2019-四月-10 14:01:17.367 INFO  [http-nio-9999-exec-2] c.w.d.u.WebControllerAop - 请求类方法:Page com.wjf.dynamic.controller.TestController.selectteacher(Integer,Integer)
